Journal Name,JIF 2024
SCIENCE ROBOTICS,27.5
NATURE CLIMATE CHANGE,27.1
NATURE SUSTAINABILITY,27.1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,27
WILEY INTERDISCIPLINARY REVIEWS COMPUTATIONAL MOLECULAR SCIENCE,27
ADVANCED MATERIALS,26.8
NEW ASTRONOMY REVIEWS,26.8
MATERIALS SCIENCE and ENGINEERING R REPORTS,26.8
NATURE REVIEWS NEUROSCIENCE,26.7
NATURE BIOMEDICAL ENGINEERING,26.6
ASTRONOMY AND ASTROPHYSICS REVIEW,26.5
ANNUAL REVIEW OF PLANT BIOLOGY,26.5
IMMUNITY,26.3
PROGRESS IN POLYMER SCIENCE,26.1
ADVANCED ENERGY MATERIALS,26
PROCEEDINGS OF THE IEEE,25.9
CELL RESEARCH,25.9
GUT,25.8
INNOVATION,25.7
FOUNDATIONS AND TRENDS IN MACHINE LEARNING,25.4
EUROPEAN UROLOGY,25.2
LANCET PUBLIC HEALTH,25.2
GASTROENTEROLOGY,25.1
ADVANCED POWDER MATERIALS,24.9
CANCER COMMUNICATIONS,24.9
LANCET PSYCHIATRY,24.8
FUNGAL DIVERSITY,24.8
CARBON ENERGY,24.2
LANCET DIGITAL HEALTH,24.1
MOLECULAR PLANT,24.1
NATURE WATER,24.1
NATURE MACHINE INTELLIGENCE,23.9
ADVANCES IN OPTICS AND PHOTONICS,23.8
ENERGYCHEM,23.8
COORDINATION CHEMISTRY REVIEWS,23.5
LIGHT SCIENCE and APPLICATIONS,23.4
JAMA INTERNAL MEDICINE,23.3
BLOOD,23.1
MILITARY MEDICAL RESEARCH,22.9
EXPLORATION,22.5
OPTO ELECTRONIC ADVANCES,22.4
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,22.3
INFOMAT,22.3
ANNUAL REVIEW OF MEDICINE,22.1
MATERIALS TODAY,22
ENDOCRINE REVIEWS,22
NATURE FOOD,21.9
NATURE REVIEWS PSYCHOLOGY,21.8
ADVANCED COMPOSITES AND HYBRID MATERIALS,21.8
DRUG RESISTANCE UPDATES,21.7
LANCET PLANETARY HEALTH,21.6
JAMA NEUROLOGY,21.3
ADVANCED FIBER MATERIALS,21.3
SUSMAT,21.3
INTERNATIONAL JOURNAL OF EXTREME MANUFACTURING,21.3
INTENSIVE CARE MEDICINE,21.2
SCIENCE BULLETIN,21.1
APPLIED CATALYSIS B ENVIRONMENT AND ENERGY,21.1
EUROPEAN RESPIRATORY JOURNAL,21
AMERICAN JOURNAL OF BIOETHICS,20.8
NATURE METABOLISM,20.8
JOURNAL OF THORACIC ONCOLOGY,20.8
TRENDS IN PLANT SCIENCE,20.8
ANNUAL REVIEW OF PUBLIC HEALTH,20.7
REPORTS ON PROGRESS IN PHYSICS,20.7
ANNALS OF THE RHEUMATIC DISEASES,20.6
ANNUAL REVIEW OF BIOCHEMISTRY,20.5
CELL STEM CELL,20.4
LANCET MICROBE,20.4
ENVIRONMENTAL CHEMISTRY LETTERS,20.4
BIOACTIVE MATERIALS,20.3
NATURE CHEMISTRY,20.2
ENERGY STORAGE MATERIALS,20.2
JAMA ONCOLOGY,20.1
NATURE NEUROSCIENCE,20
NATURE SYNTHESIS,20
TRENDS IN PHARMACOLOGICAL SCIENCES,19.9
PSYCHOLOGICAL BULLETIN,19.8
CELLULAR and MOLECULAR IMMUNOLOGY,19.8
CHEM,19.6
NATURE MICROBIOLOGY,19.4
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,19.4
NATURE AGING,19.4
ADVANCES IN COLLOID AND INTERFACE SCIENCE,19.3
CLINICAL MICROBIOLOGY REVIEWS,19.3
IEEE CAA JOURNAL OF AUTOMATICA SINICA,19.2
PHOTONIX,19.1
NATURE CELL BIOLOGY,19.1
ANNUAL REVIEW OF PHYSIOLOGY,19.1
ADVANCED FUNCTIONAL MATERIALS,19
ANNUAL REVIEW OF MARINE SCIENCE,18.9
ADVANCED PHOTONICS,18.8
INTERNATIONAL JOURNAL OF MACHINE TOOLS and MANUFACTURE,18.8
CELL HOST and MICROBE,18.7
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,18.6
NATURE PHYSICS,18.4
COMPUTATIONAL VISUAL MEDIA,18.3
NATURE COMPUTATIONAL SCIENCE,18.3
ACS ENERGY LETTERS,18.2
CYBORG AND BIONIC SYSTEMS,18.1
TRENDS IN CELL BIOLOGY,18.1
JAMA PEDIATRICS,18
LANCET GLOBAL HEALTH,18
NANO MATERIALS SCIENCE,17.9
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,17.9
LANCET HAEMATOLOGY,17.7
CHINESE JOURNAL OF CATALYSIS,17.7
ACCOUNTS OF CHEMICAL RESEARCH,17.7
PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST,17.6
ADVANCED DRUG DELIVERY REVIEWS,17.6
ECO ENVIRONMENT and HEALTH,17.6
MOLECULAR NEURODEGENERATION,17.5
MATTER,17.5
TRENDS IN CANCER,17.5
PSYCHOTHERAPY AND PSYCHOSOMATICS,17.4
MMWR MORBIDITY AND MORTALITY WEEKLY REPORT,17.3
PHARMACOLOGICAL REVIEWS,17.3
TRENDS IN ECOLOGY and EVOLUTION,17.3
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,17.2
TRENDS IN COGNITIVE SCIENCES,17.2
STUDIES IN MYCOLOGY,17.1
JAMA PSYCHIATRY,17.1
NATIONAL SCIENCE REVIEW,17.1
NANO ENERGY,17.1
ETRANSPORTATION,17
CLINICAL AND MOLECULAR HEPATOLOGY,16.9
ANGEWANDTE CHEMIE INTERNATIONAL EDITION,16.9
INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION,16.7
ANNUAL REVIEW OF ENTOMOLOGY,16.7
DIABETES CARE,16.6
JOURNAL OF ADVANCED CERAMICS,16.6
MOLECULAR CELL,16.6
CANCER RESEARCH,16.6
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,16.5
ACADEMY OF MANAGEMENT ANNALS,16.5
LANCET RHEUMATOLOGY,16.4
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,16.4
JOURNAL OF THE NATIONAL COMPREHENSIVE CANCER NETWORK,16.4
GREEN ENERGY AND INTELLIGENT TRANSPORTATION,16.4
SCIENCE IMMUNOLOGY,16.3
RENEWABLE and SUSTAINABLE ENERGY REVIEWS,16.3
TRENDS IN GENETICS,16.3
BRITISH JOURNAL OF SPORTS MEDICINE,16.2
CIRCULATION RESEARCH,16.2
PROGRESS IN AEROSPACE SCIENCES,16.2
HUMAN REPRODUCTION UPDATE,16.1
NATURE GEOSCIENCE,16.1
APPLIED MECHANICS REVIEWS,16.1
NATURE PROTOCOLS,16
ACS NANO,16
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,16
NATURE HUMAN BEHAVIOUR,15.9
ENERGY MATERIAL ADVANCES,15.9
HEPATOLOGY,15.8
PHYSICAL REVIEW X,15.7
PERIODONTOLOGY 2000,15.7
SEMINARS IN CANCER BIOLOGY,15.7
NATURE COMMUNICATIONS,15.7
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,15.6
LANCET CHILD and ADOLESCENT HEALTH,15.5
JOURNAL OF INNOVATION and KNOWLEDGE,15.5
INFORMATION FUSION,15.5
NPJ FLEXIBLE ELECTRONICS,15.5
BMEMAT,15.5
INTERNATIONAL MATERIALS REVIEWS,15.5
STATISTICS SURVEYS,15.4
TRENDS IN FOOD SCIENCE and TECHNOLOGY,15.4
CELL DEATH AND DIFFERENTIATION,15.4
ONE EARTH,15.3
RADIOLOGY,15.2
ANNALS OF INTERNAL MEDICINE,15.2
JACC CARDIOVASCULAR IMAGING,15.2
TRANSLATIONAL NEURODEGENERATION,15.2
MYCOSPHERE,15.1
NPJ DIGITAL MEDICINE,15.1
TRENDS IN NEUROSCIENCES,15.1
NEURON,15
BONE RESEARCH,15
JAMA SURGERY,14.9
JOURNAL OF ENERGY CHEMISTRY,14.9
PROGRESS IN LIPID RESEARCH,14.9
TRENDS IN BIOTECHNOLOGY,14.9
TRENDS IN MICROBIOLOGY,14.9
INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH,14.8
AI OPEN,14.8
PROGRESS IN RETINAL AND EYE RESEARCH,14.7
AMERICAN JOURNAL OF PSYCHIATRY,14.7
ENDOCRINE PATHOLOGY,14.7
ACCOUNTS OF MATERIALS RESEARCH,14.7
ACTA PHARMACEUTICA SINICA B,14.6
SCIENCE TRANSLATIONAL MEDICINE,14.6
LANCET HEALTHY LONGEVITY,14.6
NATURE REVIEWS UROLOGY,14.6
GREEN ENERGY and ENVIRONMENT,14.6
HEMASPHERE,14.6
NATURE ECOLOGY and EVOLUTION,14.5
COMMUNICATIONS IN TRANSPORTATION RESEARCH,14.5
JOURNAL OF EXTRACELLULAR VESICLES,14.5
DRUGS,14.4
QUALITATIVE PSYCHOLOGY,14.3
IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,14.3
NATURE ASTRONOMY,14.3
JOURNAL OF MATERIALS SCIENCE and TECHNOLOGY,14.3
PHYSICS OF LIFE REVIEWS,14.3
ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,14.3
AUTOPHAGY,14.3
ENERGY ECONOMICS,14.2
COMPOSITES PART B ENGINEERING,14.2
JOURNAL OF MANUFACTURING SYSTEMS,14.2
JAMA CARDIOLOGY,14.1
ENERGY and ENVIRONMENTAL MATERIALS,14.1
ADVANCED SCIENCE,14.1
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,14.1
ANNUAL REVIEW OF CONTROL ROBOTICS AND AUTONOMOUS SYSTEMS,14
ACADEMY OF MANAGEMENT REVIEW,13.9
ARTIFICIAL INTELLIGENCE REVIEW,13.9
TRENDS IN IMMUNOLOGY,13.9
JOURNAL OF MAGNESIUM AND ALLOYS,13.8
ADVANCES IN APPLIED ENERGY,13.8
TRENDS IN MOLECULAR MEDICINE,13.8
MATERIALS REPORTS: ENERGY,13.8
ADVANCES IN PHYSICS,13.8
INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY,13.7
BEHAVIORAL AND BRAIN SCIENCES,13.7
NATURE CHEMICAL BIOLOGY,13.7
IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,13.7
ANNUAL REVIEW OF BIOPHYSICS,13.7
IEEE TRANSACTIONS ON IMAGE PROCESSING,13.7
AGGREGATE,13.7
NATURE PLANTS,13.6
JOURNAL OF CLINICAL INVESTIGATION,13.6
INTERDISCIPLINARY MEDICINE,13.6
TRENDS IN CHEMISTRY,13.6
BIOCHAR,13.5
EXPERIMENTAL HEMATOLOGY and ONCOLOGY,13.5
ACTA PHYSICO CHIMICA SINICA,13.5
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,13.4
NEURO ONCOLOGY,13.4
IMPLEMENTATION SCIENCE,13.4
TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY,13.4
LEUKEMIA,13.4
ANNUAL REVIEW OF NUTRITION,13.4
CURRENT OPINION IN SOLID STATE and MATERIALS SCIENCE,13.4
THERANOSTICS,13.3
BUSINESS STRATEGY AND THE ENVIRONMENT,13.3
CARDIOVASCULAR RESEARCH,13.3
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,13.3
RADIOLOGY ARTIFICIAL INTELLIGENCE,13.2
ANNUAL REVIEW OF NEUROSCIENCE,13.2
CHEMICAL ENGINEERING JOURNAL,13.2
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,13.2
NUCLEIC ACIDS RESEARCH,13.1
JOURNAL OF RETAILING AND CONSUMER SERVICES,13.1
CEMENT AND CONCRETE RESEARCH,13.1
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,13.1
CEMENT and CONCRETE COMPOSITES,13.1
ACS CATALYSIS,13.1
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C PHOTOCHEMISTRY REVIEWS,13.1
JOURNAL OF BIORESOURCES AND BIOPRODUCTS,13
LANCET REGIONAL HEALTH EUROPE,13
JOURNAL OF ADVANCED RESEARCH,13
LANCET HIV,13
HUMAN RESOURCE MANAGEMENT REVIEW,13
ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES,13
FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,12.9
BIOMATERIALS,12.9
EXPERIMENTAL AND MOLECULAR MEDICINE,12.9
ENDOSCOPY,12.8
INTERNATIONAL JOURNAL OF PLASTICITY,12.8
JACC: CARDIOONCOLOGY,12.8
JOURNAL OF EXPERIMENTAL and CLINICAL CANCER RESEARCH,12.8
SMARTMAT,12.8
PROTEIN and CELL,12.8
ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING,12.8
QUARTERLY JOURNAL OF ECONOMICS,12.7
MICROBIOME,12.7
COMPUTER SCIENCE REVIEW,12.7
KIDNEY INTERNATIONAL,12.6
ANALYTIC METHODS IN ACCIDENT RESEARCH,12.6
JOURNAL OF NANOBIOTECHNOLOGY,12.6
TRENDS IN ENDOCRINOLOGY AND METABOLISM,12.6
ECOMAT,12.6
TECHNOLOGY IN SOCIETY,12.5
SCIENCE ADVANCES,12.5
CARBOHYDRATE POLYMERS,12.5
PHARMACOLOGY and THERAPEUTICS,12.5
CELL DISCOVERY,12.5
BIOTECHNOLOGY ADVANCES,12.5
CARBON NEUTRALITY,12.5
PROGRESS IN QUANTUM ELECTRONICS,12.5
TOURISM MANAGEMENT,12.4
FOOD HYDROCOLLOIDS,12.4
WATER RESEARCH,12.4
ARTIFICIAL INTELLIGENCE IN AGRICULTURE,12.4
AGEING RESEARCH REVIEWS,12.4
ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY,12.4
FEMS MICROBIOLOGY REVIEWS,12.3
INTERNATIONAL JOURNAL OF ORAL SCIENCE,12.2
COMMUNICATIONS OF THE ACM,12.2
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.2
CLINICAL PSYCHOLOGY REVIEW,12.2
SMART LEARNING ENVIRONMENTS,12.1
SMALL,12.1
JOURNAL OF BIOMEDICAL SCIENCE,12.1
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.1
JOURNAL OF FINANCIAL ECONOMICS,12
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,12
MOLECULAR THERAPY,12
CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,12
GLOBAL CHANGE BIOLOGY,12
IEEE REVIEWS IN BIOMEDICAL ENGINEERING,12
ALLERGY,12
SUSTAINABLE CITIES AND SOCIETY,12
ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH,12
CARBON NEUTRALIZATION,12
TRAC TRENDS IN ANALYTICAL CHEMISTRY,12
IEEE TRANSACTIONS ON FUZZY SYSTEMS,11.9
METABOLISM CLINICAL AND EXPERIMENTAL,11.9
REDOX BIOLOGY,11.9
ASIAN JOURNAL OF PHARMACEUTICAL SCIENCES,11.9
JOURNAL OF INFECTION,11.9
PROTECTION AND CONTROL OF MODERN POWER SYSTEMS,11.9
NPJ COMPUTATIONAL MATERIALS,11.9
BIOFUEL RESEARCH JOURNAL BRJ,11.9
INDUSTRIAL CHEMISTRY and MATERIALS,11.9
ANNUAL REVIEW OF PHYTOPATHOLOGY,11.9
POLYMER REVIEWS,11.9
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,11.8
MED,11.8
JACC HEART FAILURE,11.8
FACTA UNIVERSITATIS SERIES MECHANICAL ENGINEERING,11.8
MEDICAL IMAGE ANALYSIS,11.8
JOURNAL OF OCEAN ENGINEERING AND SCIENCE,11.8
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,11.8
CYTOKINE and GROWTH FACTOR REVIEWS,11.8
BRAIN,11.7
BIOLOGICAL REVIEWS,11.7
ASTROPHYSICAL JOURNAL LETTERS,11.7
WILEY INTERDISCIPLINARY REVIEWS DATA MINING AND KNOWLEDGE DISCOVERY,11.7
ANNUAL REVIEW OF PHYSICAL CHEMISTRY,11.7
AMERICAN ECONOMIC REVIEW,11.6
EARTH SYSTEM SCIENCE DATA,11.6
ENGINEERING,11.6
BLOOD CANCER JOURNAL,11.6
PLANT CELL,11.6
PLANT COMMUNICATIONS,11.6
JOURNAL OF RESEARCH IN INTERACTIVE MARKETING,11.6
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,11.6
CARBON,11.6
MEDICINAL RESEARCH REVIEWS,11.6
APPLIED PHYSICS REVIEWS,11.6
CHEM CATALYSIS,11.6
SMART MEDICINE,11.6
BLOOD CANCER DISCOVERY,11.5
IEEE WIRELESS COMMUNICATIONS,11.5
JOURNAL OF CONTROLLED RELEASE,11.5
AUTOMATION IN CONSTRUCTION,11.5
BIOMARKER RESEARCH,11.5
JACC CARDIOVASCULAR INTERVENTIONS,11.4
EDUCATIONAL PSYCHOLOGIST,11.4
ANNUAL REVIEW OF ECONOMICS,11.4
REMOTE SENSING OF ENVIRONMENT,11.4
ROBOTICS AND COMPUTER INTEGRATED MANUFACTURING,11.4
EVIDENCE BASED MENTAL HEALTH,11.4
NPJ CLEAN WATER,11.4
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,11.4
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,11.4
ACTA NUMERICA,11.3
CANADIAN MEDICAL ASSOCIATION JOURNAL,11.3
JAMA HEALTH FORUM,11.3
JOURNAL OF HAZARDOUS MATERIALS,11.3
CLINICAL REVIEWS IN ALLERGY and IMMUNOLOGY,11.3
ENVIRONMENTAL SCIENCE and TECHNOLOGY,11.3
REVIEWS IN AQUACULTURE,11.3
SMALL STRUCTURES,11.3
GENOME MEDICINE,11.2
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,11.2
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,11.2
IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,11.2
TUNGSTEN,11.2
ENERGY MATERIALS,11.2
ALZHEIMERS and DEMENTIA,11.1
HUMAN REPRODUCTION OPEN,11.1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,11.1
ADDITIVE MANUFACTURING,11.1
JAMA DERMATOLOGY,11
PRX QUANTUM,11
JOURNAL OF HOSPITALITY MARKETING and MANAGEMENT,11
GUT MICROBES,11
CURRENT OBESITY REPORTS,11
RELIABILITY ENGINEERING and SYSTEM SAFETY,11
RARE METALS,11
APPLIED ENERGY,11
TRENDS IN BIOCHEMICAL SCIENCES,11
NANO CONVERGENCE,11
ARTHRITIS and RHEUMATOLOGY,10.9
TECHNOVATION,10.9
ENERGY CONVERSION AND MANAGEMENT,10.9
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,10.9
NANO TODAY,10.9
RESOURCES CONSERVATION AND RECYCLING,10.9
EUROPEAN JOURNAL OF HEART FAILURE,10.8
OECONOMIA COPERNICANA,10.8
NATURE CARDIOVASCULAR RESEARCH,10.8
EBIOMEDICINE,10.8
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,10.8
MATERIALS FUTURES,10.8
ADVANCES IN PHYSICS X,10.8
RESEARCH INTEGRITY AND PEER REVIEW,10.7
NBER MACROECONOMICS ANNUAL,10.7
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,10.7
RESEARCH,10.7
MEDCOMM,10.7
MATERIALS HORIZONS,10.7
ANNUAL REVIEWS IN CONTROL,10.7
JOURNAL OF ECONOMIC LITERATURE,10.6
EDUCATIONAL RESEARCH REVIEW,10.6
JOURNAL OF EXPERIMENTAL MEDICINE,10.6
CARDIOVASCULAR DIABETOLOGY,10.6
CELL REPORTS MEDICINE,10.6
JOURNAL FOR IMMUNOTHERAPY OF CANCER,10.6
LIGHT ADVANCED MANUFACTURING,10.6
FOOD PACKAGING AND SHELF LIFE,10.6
NATURAL PRODUCT REPORTS,10.6
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO TECHNOLOGY,10.6
COMPUTERS and EDUCATION,10.5
ACADEMY OF MANAGEMENT JOURNAL,10.5
PHARMACOLOGICAL RESEARCH,10.5
BIOSENSORS and BIOELECTRONICS,10.5
IEEE TRANSACTIONS ON ROBOTICS,10.5
PLANT BIOTECHNOLOGY JOURNAL,10.5
IEEE TRANSACTIONS ON CYBERNETICS,10.5
JOURNAL OF HIGH ENERGY ASTROPHYSICS,10.5
CANCER TREATMENT REVIEWS,10.5
CARBON CAPTURE SCIENCE and TECHNOLOGY,10.5
PROGRESS IN SOLID STATE CHEMISTRY,10.5
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,10.4
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,10.4
EUROPEAN RESPIRATORY REVIEW,10.4
ACS CENTRAL SCIENCE,10.4
JOURNAL OF MARKETING,10.4
JOURNAL OF OPERATIONS MANAGEMENT,10.4
BUSINESS and INFORMATION SYSTEMS ENGINEERING,10.4
ANNUAL REVIEW OF MATERIALS RESEARCH,10.4
JOURNAL OF SPORT AND HEALTH SCIENCE,10.3
SOIL BIOLOGY and BIOCHEMISTRY,10.3
CURRENT CLIMATE CHANGE REPORTS,10.3
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,10.3
WILEY INTERDISCIPLINARY REVIEWS CLIMATE CHANGE,10.3
MOLECULAR ASPECTS OF MEDICINE,10.3
PHYSIOLOGY,10.3
JOURNAL OF ROCK MECHANICS AND GEOTECHNICAL ENGINEERING,10.2
CLINICAL CANCER RESEARCH,10.2
DIABETOLOGIA,10.2
MATERIALS TODAY BIO,10.2
JOURNAL OF RETAILING,10.2
CELLULAR and MOLECULAR BIOLOGY LETTERS,10.2
ADVANCED SENSOR AND ENERGY MATERIALS,10.2
INTERNATIONAL JOURNAL OF SURGERY,10.1
NATURE STRUCTURAL and MOLECULAR BIOLOGY,10.1
CANCER LETTERS,10.1
MOLECULAR PSYCHIATRY,10.1
JOURNAL OF NEUROINFLAMMATION,10.1
SATELLITE NAVIGATION,10.1
COLD SPRING HARBOR PERSPECTIVES IN MEDICINE,10.1
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,10.1
MOLECULAR BIOMEDICINE,10.1
CATALYSIS REVIEWS SCIENCE AND ENGINEERING,10.1
BMJ MEDICINE,10
GOVERNMENT INFORMATION QUARTERLY,10
ISME JOURNAL,10
ECLINICALMEDICINE,10
EARTH SCIENCE REVIEWS,10
INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES,10
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,10
LASER and PHOTONICS REVIEWS,10
IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,10
JOURNAL OF CLEANER PRODUCTION,10
ADVANCES IN GEO ENERGY RESEARCH,10
PLOS MEDICINE,9.9
ULTRAFAST SCIENCE,9.9
JOURNAL OF SUPPLY CHAIN MANAGEMENT,9.9
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,9.9
ADVANCED ENGINEERING INFORMATICS,9.9
AMERICAN JOURNAL OF HEMATOLOGY,9.9
STUDIES IN SCIENCE EDUCATION,9.9
TRANSPORT REVIEWS,9.9
MICROSYSTEMS and NANOENGINEERING,9.9
BATTERY ENERGY,9.9
ENERGY STRATEGY REVIEWS,9.9
ANNUAL REVIEW OF MICROBIOLOGY,9.9
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,9.8
ENVIRONMENTAL HEALTH PERSPECTIVES,9.8
IEEE TRANSACTIONS ON MEDICAL IMAGING,9.8
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,9.8
